accomplish accomplished
achille achilles
affectation affectation
ago ago
airiness airiness
alarm alarm
album album
analog analog
angeles angeles
approach approach
astonishing astonishing
attempt attempt
audition auditioning
ballgame ballgame
band band
baritone baritone
begin begins
berklee berklee
bleed bleeding
bog bog
bombastic bombastic
bowie bowie
break breaking
bright bright
california california
calm calming
car car
celebrate celebrating
chance chance
channel channels
chest chest
chicago chicago
child child
circuit circuit
clear clear
clock clock
come come
continuously continuously
contributor contributor
convince convince
cover cover
crunch crunches
currently currently
date date
david david
deal deal
debut debut
delivery delivery
department department
depict depicting
deprecate deprecating
derange derange
destruction destruction
dexys dexys
distant distant
distinct distinct
eagle eagles
editor editor
effective effective
eileen eileen
emotional emotional
enchant enchanted
erstwhile erstwhile
establish establishes
eventually eventually
exalt exalting
fade fade
fail fails
falsetto falsetto
feel feel
final final
fledgling fledgling
flex flexes
foundation foundation
founder founder
foxygen foxygen
front fronting
genre genre
get got
gift gift
give giving
great greats
grow growing
guitar guitar
heel heel
helm helmed
hero hero
highlight highlight
hit hit
hollow hollow
homage homage
home home
hook hook
horn horns
hype hyped
indie indie
influence influences
inspiration inspiration
instrument instrument
intensify intensify
intent intent
intention intention
island island
january january
jim jim
jonathan jonathan
journey journey
key keys
kid kid
killer killer
label label
land landed
like like
live lives living
local local
lockdown lockdowns
lockstep lockstep
los los
lull lull
lyric lyrics
make makes
mark mark
match match
matter matter
mazzy mazzy
measured measured
mic mic
midnight midnight
millan millan
minute minute
mirror mirrors
mission mission
morrison morrison
move moved
new new
offer offers
old old
ooh ooh
open open
orbison orbison
original original
oscillate oscillating
overshadow overshadows
oversinge oversinging
overt overt
pain pains
pandemic pandemic
parallel parallels
penchant penchant
phrase phrase
piano pianos
poetic poetics
police police
pollie pollie
power power
practically practically
predominantly predominantly
production production
prove proving
provide provide
quality quality
quickly quickly
quirkiness quirkiness
rado rado
range range
read read
recall recalling
recently recently
reclamation reclamation
record record
refashion refashion
reflect reflect
refrain refrain
regrettable regrettable
release release
repeat repeats
reveal revealing
review reviewed
rhode rhode
riff riffs
ring ring
rock rock
romance romance
rough rough
roy roy
runner runners
ryan ryan
second second seconds
seductive seductive
self self
seriousness seriousness
short short
sing sing sings
singer singer
singing singing
song songs
songbird songbird
sound sound sounds
special special
spin spin
standard standard
star star
statement statement
strawberry strawberry
strength strength
strong strong strongest
student student
style style
sugar sugar
surreal surreal
taste taste tastes
temperance temperance
theater theater
theatric theatrics
thing things
think thought
time time
toil toiled
tone tone
track tracks
trade trade
trance trance
tremendous tremendous
triumphant triumphant
try trying
tyler tyler
unfortunate unfortunate
vehicle vehicle
verma verma
verse verses
vintage vintage
vocal vocal vocals
voice voice
way way
wear worn
weigh weighed
whim whim
whimpering whimpering
whimsical whimsical
writing writing
year years
