absorb absorbing
abundance abundance
acclaim acclaim
accomplished accomplished
acoustic acoustic
adorn adorned
adrenaline adrenaline
aimee aimee
album album albums
anger anger
animal animal
apologize apologize
appetite appetite
arrival arrival
b b
ballad ballad
band band
bandmate bandmate
banger banger
bear bear
begin beginning
believe believe
blend blends
body body
bone bone
boyfriend boyfriend
breakbeat breakbeats
bright brighter
bush bush
cancer cancer
catchy catchy
central central
channel channelling channels
chant chants
chew chewing
childlike childlike
chorus choruses
cliff cliff
closing closing
coast coast
coda coda
come comes
comparison comparison
compelling compelling
continue continues
conventional conventional
cover cover
crowd crowd
crusade crusading
cut cut
cyndi cyndi
darkly darkly
date date
debut debut
deft deft
delicious delicious
desire desire
desperately desperately
devastating devastating
difficult difficult
distort distorted
dolphin dolphin dolphins
drag drags
dress dress
drone droning
drop drop
duo duo
eat eat
ecstatic ecstatic
electric electric
element elements
end end
engine engine
english english
engulf engulfing
euphoric euphoric
eventually eventually
example example
existential existential
experimental experimental
explain explained
explore explored
face face
fall fall
favor favoring
feel felt
feeling feeling feelings
fit fit
flush flush
foot feet
form form
fun fun
gaze gaze
genre genre
ghostly ghostly
give gave
gluttonous gluttonous
go going
good good
grandma grandma
grapple grapples
grief grief
groundskeeping groundskeeping
guitar guitar
happiness happiness
hard hard
heart heart
high highs
holiday holiday
hollingworth hollingworth
hook hook hooks
hope hope
hughes hughes
hungry hungry
illustration illustration
imagery imagery
include including
independent independent
influence influences
infuse infuses
inject inject
insistent insistent
inspire inspired
intention intentions
invitation invitation
january january
jenny jenny
john john
joy joy
joyful joyful
kate kate
know known
label label
lauper lauper
lean leans
leave leaving
left left
let let
life life
light lighter
like like
line line
look looks
loop looped
lose losing
loss loss
love love
lyrical lyrical
make making
mary mary
mastery mastery
meet meet
melancholy melancholy
meld melding
member member
mid mid
midpoint midpoint
mimic mimicking
mother mother
movie movie
music music
nature nature
nostalgia nostalgia
nostalgic nostalgic
object objects
ode ode
offer offer
oliver oliver
open opening
opening opening
organ organs
ounce ounce
outro outro
overwork overworks
pacemaker pacemaker
pack packs
pad pads
pair pairing
palette palette
part parts
path path
pen pen
personally personally
pleasure pleasure
poem poem
point point points
pop pop
power power
practically practically
precede preceding
produce produced
pulsating pulsating
punch punch
quicksand quicksand
r r
rapturous rapturous
rare rare
reach reach
ready ready
recall recalls
record record
refuse refusing
relationship relationship
release release
remainder remainder
repeat repeats
reshape reshaping
result result
revel revels
review reviewed
ribbon ribbons
rise rose
rock rock
rollick rollicking
room room
rosa rosa
rouse rousing
s s
sadness sadness
scream scream
sensory sensory
set set
shake shaking
shapeshifte shapeshifted
shimmer shimmering
shoulder shoulder
show shows
simple simple
singer singer
slightly slightly
sluggish sluggish
soak soak
solo solo
song song songs
songwriter songwriter
sonic sonic
sophie sophie
sound sound
spare spare
spectral spectral
standing standing
structure structures
sum sum
sun sun
surreal surreal
swell swell
synth synth synths
tension tension
theme theme
throughline throughline
title title
touch touch
track track tracks
transgressive transgressive
traumatic traumatic
try try
turn turns
vocal vocals
walton walton
want want wanting wants
wedding wedding
well best
whimsical whimsical
willing willing
win won
wonder wonder
wordless wordless
work work
world world
wring wrings
year years
